Tweet,Response
It's a damp night. One big star seems so close. Sands sifts in the wind. I feel relaxed.,1
"no more worrys and stress, I feel more relieve",0
Sometimes I feel stressed like I'm running out of time when really I'm super young and still got a whole life yet to live,0
Just took the worlds best shower  I feel so relaxed man. Washed my hair gave myself a avocado facial ,1
"For once I feel relatively no stress, and to make things better the sun is finally coming out and melting all this GOD DAMN SNOW",0
I made an evolution to feel relaxed with the bad smell in the animation shop or the Comicket other way round.×.4,1
"I've worked out and played basketball everyday this week. My legs are in pain but I feel great again, great to get some stress out.",0
Starting my day listening to ang bandang shirley  i'm running late to work but their songs keeps me feel relaxed so im not gonna rush. Lol,1
"I'll finish that for you. She is a sentient, intelligent animal who loves her cubs & feels stress, fear and pain. Go away.",0
i love this type of weather so much i feel so relaxed,1
I feel so stressed planning my baby sisters birthday party with only a week to do it,0
I feel almost completely stress free n I love it,0
"haha I actually prefer it when Yina is holding the camera, she reads everything  and I feel less stressed LOL",0
can I be Cedric and curl up in a ball every time I feel stressed,0
"I just want to cry and feel numb, I'm so stressed and I feel so shit and angry.",0
"I feel so good tonight, my hearts relaxed and my minds expanding",1
ima start shopping king louis because im soft and i dont feel like being stressed out,0
"I don't feel stressed, but my eye twitching says otherwise.",0
I've managed to finish all my assignments so far this semester not at the last minute & I feel so much more relaxed??? wow @ me,1
"I feel so stress free, i should always do my hw on time lmao",0
I feel like a new tattoo would release all the stress I have.,0
"Good thing we have no bread for me to stress eat then feel guilty about, I'd have gotten through a slice per minute",0
why do i feel //stressed//,0
Started out so relaxed and now I feel actually very sick thinking about how this assignment isn't going to be done for class,1
I feel so sick and I can't sleep. Micha had a super stressful day and is all quiet and stress exhausted and it... http://fb.me/4s1rVGHdo ,0
@Zoella just want to say how much I loved your new video and how relaxed and happier you make me feel about myself. Thank you so much  pic.twitter.com/KEnk0rLJ53,1
"I haven't been this relaxed and happy with where i'm at in a while, it feels good. ",1
i feel like my head is gonna to explode like i have so much unnecessary stress,0
"I feel way better now though , stress just rolled off my shoulders .",0
I feel so relaxed ,1
I feel so anxious and stressed and I don't even know why...,0
ED Sheeran's songs alway drifts me to another realm... I feel so calm and relaxed right now @edsheeran thank you very much,1
I love masks and this sheet mask made me feel relaxed and refreshed. https://www.ipsy.com/new?sid=twitter&refer=yy7i9&cid=productreview …,1
Why do i feel stressed out??,0
I actually feel relaxed doing this crap pic.twitter.com/noBeOFR5sM,1
"Why do you have 24,450 emails bruv?! I feel stressed rn  https://twitter.com/sterlingldn/status/835278295625252864 …",0
"I feel that I am high, laying way down low. — feeling relaxed",1
Tomorrow I will go somewhere for make myself feel calm and relaxed. InsyaAllah.,1
"I feel like I'm so used to packing and traveling that I'm relaxed about it
But stressed b/c I should be forgetting something...hm",1
"yes with close friends, they'll send me home later so no worries  um i just feels like want to hangout to get rid of stress",0
It feels way better not having to stress over wattpad. It's like I'm freeeee,0
I love how Buckles is just as confused as the rest of us lol it makes me feel relaxed~,1
Does anyone else feel like the world is ending when u get trapped in a sports bra? Like I get so stressed,0
Feel better while I'm having this very weird identity struggle. I've been stressed and sick because. Like. Nothing feels right right now.,0
"@aijiaofficial there were 2 deaths within my family this week. I feel super stressed and upset.  can I have a ""hug"" please?",0
"Certainly not. Have you seen how ""relaxed"" people get when it's a half day of work? I feel procrastination would become a common occurrence. https://twitter.com/juusiku1/status/832110817537556480 …",1
"Holy basil, made my brain feel happy & I felt energized

Ashwagandha, made me feel relaxed. Definitely taking it at night to sleep better",1
I feel stressed,0
im beginning to feel stress over uni assignments and hw and ik i would feel better if i just did them but,0
There's something about binge watching Full House every night before I fall asleep that makes me feel relaxed,1
WHY IS IT A PIC OF JJONG I FEEL EVEN MORE STRESSED https://twitter.com/subkultureent/status/834856163741102081 …,0
I thought starting with revision now would make me feel less stressed but no it's making me feel worse ,0
Finally in bed omg  I feel so relaxed,1
Why do i feel so stressed lmao time to play some karaoke,0
"Hmm tough one!!
I feel he is more relaxed now coz he doesnt have to face the media Qs 
#DhoniOurPridehttps://twitter.com/MenInBlueDevote/status/833713881067433986 …",1
I feel like it's been years since I've relaxed lol,1
I feel really relaxed and happy when I die I expect to find a love supreme.,1
I feel so relaxed today ☆,1
I wonder how comfortable and relaxed John Howard feels watching this. #4corners,1
exact same! I think your confidence grows too and you feel more relaxed to speak your mind #BlogsUnite,1
im watching shinee on bnr from odd era and i just feel so relaxed i love them sm,1
"thank you Mike, i was at traditional Finnis sauna and i feel so relaxed after #eurotestconf",1
"I feel sooo good, nice & relaxed. That bath did WONDERS man. ",1
"Watched episodes 3-8 of Stranger Things tonight. Hooked, stressed out, still not sure how I feel/what I think. Will watch S2, though. #sigh",0
We've done lots of driving today (I'm the passenger) it makes me feel really grounded and relaxed  Yay #drive #bmw #wellbeing #PosiMH,1
"Having an actual desk space has made me feel so relaxed, I forgot what being focused felt like",1
I hate when I feel this stressed.,0
"Oh God.I feel so relaxed while re-watching WFKBJ",1
"@ScoutThrasher I feel the opposite of numb. Every nerve ending is constantly ""on."" Never internally relaxed.",1
"Piano music makes me feel so relaxed and alive, like I have a purpose in life, even tho I have no idea what that purpose is.",1
It feels weird seeing people sad  stressed while I'm happy because not too long ago I was like that,0
"sometimes i feel like i could knock off all this depression and anxiety and insecurity if i just had one truly relaxed, contented moment",1
"I haven't been at work for over a week, i feel stressed now lmao. At least I'm starting off with a night shift lol.",0
"I finally feel like a college student, lots of projects, lots of stress, a few hurs of sleep, lots of tears ",0
I'm stressed about school and then since I'm stressed I'm even more stressed because I feel like I'm doing bad but I'm not,0
I feel crazy with all my mood swing and stress that already brew in horizon,0
His aura. I can feel it across the world & ive never met him. He's always making others feel comfortable and relaxed. https://twitter.com/vevowings/status/830971376123117568 …,1
Y'all don't understand how relaxed I feel now,1
"This is an egregious act. I can't stress how concerned I feel right now. 
https://apple.news/AOfhu05FoQJGfcvLKe8OdBA …",0
sadly I feel the same. Stress.,0
"I seriously feel like a badass doing this program, I always finish feeling so relaxed!  Who… https://www.instagram.com/p/BQij-jMAS0p/ ",1
Vodka is essential for tonight. Stressed doesn't even begin to describe how I feel. I dread to think how March will turn out. ,0
I wish my parents doesn't fight the whole day so my stress and anxiety could be better. Whenever I hear someone screaming I feel sad..,0
i need this concert so bad i feel like concerts are such stress relievers they're important to my health basically,0
I will Never Feel Stress Because I Know I'm Blessed ,0
