ID,Text,Label
0,Always leave college work until last min and then I wonder why I always feel so stressed,0
1,Being single is one of the best decisions I've made. Feels good to be stress free,0
2,I need to stop shopping when I'm stressed because the more money I spend the more stressed I get... ya feel?,0
3,"I realized  I used to feel guilt & shame to be joyful. 

Joy! In joy we can see more possibilities. 

Stress only... http://fb.me/6piRLwcRK ",0
4,Stress is no longer a emotion I feel but rather a state I am in,0
5,I feel so stressed for you all!!xxx,0
6,I get really stressed when people use the kitchen  feel like such a parent to these students it drives me mad,0
7,"i took a two hour nap instead of working on my essay and now i feel more stressed and more exhausted. well done, me.",0
8,Go home they said. It'll be relaxing they said. I feel more stressed now then I did when I left UMKC yesterday....,0
9,Got a peng coat for £10 today & I feel like it really relieved a lot of built up stress,0
10,You've got this. I'm struggling with my stress levels affecting my MS so if you ever need support feel free to reach out,0
11,I don't feel stressed out for the first time watch that go to shit in 4 minutes,0
12,Idk why I feel stressed,0
13,"If you're stressed, I suggest splitting wood. You'll feel like a big boy and your frustrations will be gone",0
14,deal breaker. I have so many questions. Whats their opinion on fossils?? Do they also deny evolution?! I feel secondhand stress,0
15,TBH I feel like a lot of people pretend to like me and that's fine. I really don't stress it anymore. I used to. But no more.,0
16,At least sports don't stress me out. I'm glad that loss to Michigan didn't make me feel sick. Im not upset. I feel. finE about it!!!!!!,0
17,I feel so happy even tho I'm so stressed lol,0
18,"lol I'm not sad, I'm constantly stressed. As if I feel things anymore.",0
19,i feel you... and i feel so stressed all the time,0
20,"I just want to cry and feel numb, I'm so stressed and I feel so shit and angry.",0
21,I don't think I will ever feel as stressed about anything again as I was the first time I asked a girl out in the 8th grade.,0
22,I hate to feel stressed out even just a lil bit,0
23,I love going to AP readiness I feel so alive there . I don't feel trapped I don't feel stressed I feel like it's a new chance for change .,0
24,I never realized I'd feel so much stress over a wrestling competition,0
25,i need someone who isn't gonna add stress but take it away ya feel?,0
26,"what i want to do this spring: enjoy life, feel the warm sun on my skin, be beautiful
what i'll do this spring: stress about everything, cry",0
27,I feel so anxious and stressed and I don't even know why...,0
28,I feel stressed. I need a Coke,0
29,I feel like Costco would kill me from the stress... I barely survived my last visit there...,0
30,I don't wanna feel stress or pressure from having so much to drink today.,0
31,I need to learn how to control my stress  I feel like my head wants to explode sometimes ,0
32,actually when i spend time alone i feel lonely but i dont feel sad i dont feel like im stressed,0
33,Turns out the old lady living right across from me took him in. I went from being stressed to relieved in a few seconds. I feel a lot better,0
34,I feel so stressed out being anywhere else but my room bc it's so messy...I'm not even exaggerating lol I wouldn't bring anyone here,0
35,I hate it when I think I lost weight and everyone says that I gained it instead,0
36,I have like 2 mins of peace every so often where I feel so stress-free and then I remember how much shit I have to do n wanna shoot myself,0
37,"4. I also want to stress, we all have the talents to do research. Never feel too small. Just remember the 5 Ws and start saving the world!",0
38,I feel so stressed,0
39,"@MissDLloyd I feel so sorry for you . You're pregnant and don't need this stress.Don't let him drag you down, focus on what's important xx",0
40,"I haven't been at work for over a week, i feel stressed now lmao. At least I'm starting off with a night shift lol.",0
41,I'm so stressed rn I feel like I might explode,0
42,Why did I feel so stressed when I see two blue ticks at the corner of that message,0
43,"I rlly been happy asf , I stress every now and then but everything feel like it's falling into place for me and I'll never complain again ",0
44,You turn up and I instantly feel 100% more stressed...,0
45,Im stressed and starving plus i feel like I've been at work for 12 hours but its only been two. Help,0
46,why do i feel //stressed//,0
47,I just feel much bigger than Statesboro now. Can't believe I even stressed over half of y'all. But I always come out on top. It never fails.,0
48,I hate being stressed reason I rather be on my own and talk to on one but when you feel u are possessed.. Nah..u just av to die,0
49,Update: I'm still stressed about my midterms next week. I feel like all the really important things are happening next week #college,0
50,I feel stressed out,0
51,<1 week until exam. Needing some serious motivation right now. I don't feel stressed enough but logically I should,0
52,I'm getting so fucking stressed getting everything ready for padre cause i feel like everyone is gonna bs,0
53,I'm so stressed out right now I feel like if I do anything other that's this I will explode but I can't do anything about it.,0
54,i feel so stressed someone help,0
55,Major in nursing they said. It's rewarding they said. It'll get easier they said. For now I feel nothing but stress and anxiety ,0
56,"I start(again) school in two days and watch @colliscool videos make me feel better and make my stress down, THANKS !!!",0
57,aww 4 years of stress for you. I can feel your pain. Wojieeee,0
58,Sad/lonley/unhappiness/frustration/angry/stressed..didn't know I could feel so many emotions today ,0
59,"""I wonder why my body feels like it's falling apart?"" I say thru my 4th Cheey breadstick, week out from the gym, missing sleep, and stressed",0
60,I don't want to fill in my eyebrows for work but I feel obligated to because I stress pick tf out of them and it makes me look like a tweak,0
61,Feel bare stressed and I don't even have anything to be stressed over need to sort my head out ,0
62,I'm so stressed out with school and everything else that I forgot my birthday is in 3 days and it doesn't even feel like it. #whatsabirthday,0
63,Lowkey feel like i need to stop caring so much gets me nowhere just more stress and shit to worry about,0
64,i would keep this picture which always makes me feel relieved every time i feel sick or stressed.,0
65, and i love you too! u always make me feel less anxious and stressed. always!!,0
66,I am so over stressed that I am having heart issues and was made to feel guilty for needing to be a helpful part of my family.  I am (3/?),0
67,"finally went to the beach after being in florida for almost 3 months, & holy shit i feel so good & at peace & not stressed go figure",0
68,i feel like the second the weather is above 50 degrees im like stress who?? I don't know her,0
69,"Maaaannn. School and work has been hectic. The stress has been mounting up. I feel like I'm not living at all. 
Change sounds good rn",0
70,Feel like I've been stress eating for about 4 years,0
71,I just want to jump in my car and drive far away until I feel free from all this stress and anxiety,0
72,"I feel bad for my guardian angel, they prolly stressed out like a mf.",0
73,why is writing scholarship essays so hard? I feel like a stressed out high school senior.,0
74,i'm a type of person who cries when i feel so pressured & stressed.,0
75,I need a break away with no stress or hassle. Just to clear my mind and get some breathing space to feel sane again.,0
76,not really i still feel stressed idk,0
77,but I feel so free and happy at the thought that I no longer feel obligated to interact with them... stress,0
78,"many times I(few mates) feel y don't we all become 6year (kid), the world will be happier place 2b.. bored of makeup & stress",0
79,Feel better while I'm having this very weird identity struggle. I've been stressed and sick because. Like. Nothing feels right right now.,0
80,I feel so stressed planning my baby sisters birthday party with only a week to do it,0
81,"I love how my body and mind are so in sync; every time I have a busy schedule and start to feel stress, my immune system craps out on me :))",0
82,"It happens, I wouldn't worry about being burnt out after beast. Don't stress and enjoy the game! You'll feel better next month",0
83,Just tried @saveonfoods #homedelivery service. One word #awesome!! I feel stress free now such an easy service Thank you,0
84,I understand how it feels when stressed & like everything's urgent. I also realize that what I feel is urgent is probably not to anyone else,0
85,"I'm so happy I found my prom dress, it feels like such a stress reliever ",0
86,Sometimes when I feel sad or stressed or overwhelmed I just remind myself that my parents were immigrants so like... get it togetha ,0
87,I honestly don't know how to feel right now. I'm actually stressed . Nicki is bae but then remy  https://twitter.com/makeupshayla/status/835552690813857792 …,0
88,I feel so stressed right now ,0
89,I'm eating this cake I feel so stressed,0
90,"it's just one more reason to feel guilty about not doing my job properly. I know that's my guilt, but it all adds to the stress",0
91,"I feel kinda bad skipping my class. Had to take a breather on this one, too much stress from every class",0
92,just got home from a busy shift and i feel so mentally stressed. please give me strength dear god.,0
93,"Im soooo stressed and tired , i feel like crying ",0
94,Im over trying to help people and make other people feel comfortable when I'm stressed out and exhausted.,0
95,"haahahah Frank hama hamwe, ukurikire agakino... but I feel you bro!",0
96,"Do you know how happy and stress-free I feel being single? Props to all of you in happy healthy relationships, but right now I am SO content",0
97,"I literally don't even know how I feel 99% of the time atm, like am i sad? Am i stressed? Am i actually okay? Who fucking knows",0
98,I swear when you learn to stop caring about stuff you feel so stress free,0
99,"""I feel ashamed cause the good lord done bought all this success to me, and all I seem to focus on is all this stress on me..""",0
100,"I want to die 
Al8eraya s5efa o btzheg 
I feel like #pipeline 
With high stress ",0
101,"I paid my bills/ loans/ rent, with money left over (already uncommon enough as a solo flyer) AND I didn't feel stressed about the next month",0
102,"Ain't wanna feel like this again , I don't need to be stressed ",0
103,lemao i miss when all i had to worry about is fangirling my head hasnt stopped spinning bc of how stressed i feel for myself+my friends,0
104,i feel like my head is gonna to explode like i have so much unnecessary stress,0
105,I feel so bad for @iamjojo  I just want her to get better & not be stressed/tired...,0
106,"i,like cant even feel happy abt my ticket yet bc im still so Stressed like akdhsjs its over brain,stop being stressed",0
107,at least on week days i feel like im justified to feel tired or stressed,0
108,"Work is shitty on a day like today. I feel so at peace, yet I'm gonna stress myself out tryna please someone else...",0
109,Constantly feel like I am tensing my shoulders. Any tips to reduce this?! #stress,0
110,i just woke up and i feel great like a volcano of stress erupted and it's now all gone,0
111,Whenever you're stressed out just listen to O-o-h Child and you'll feel better I promise,0
112,I got so stressed man I literally can't believe everything I feel like this whole day could be an episode of a sitcom,0
113,"I BREATH AGAIN. Damn, I really feel like I held my breath all this time. MY STRESS LVL IS BACK AT 5/10! IT'S PERFECT!",0
114,i feel like my periods coming hell fucking no im already emotionally stressed for thursday dont fucking do this to me,0
115,I feel like I'll just get stressed all over again if I watch it so I just keep rewatching asib instead,0
116,I mean I am in my room. I have nothing to stress over. Nothing took place. But I suddenly feel breathless. Uh?,0
117,Been back from vacation for less than a week and I feel more stressed than ever.  #ineedavacation #again,0
118,"yes with close friends, they'll send me home later so no worries  um i just feels like want to hangout to get rid of stress",0
119,", Since Tashia Left Me I Feel So Alone & Stressed Out ",0
120,"i tend to overthink, get super stressed, feel anxiety, and cry like a bitch when someone i love talking to doesn't answer me for hours.",0
121,"Sometimes I feel like a unevolved, stressed, bonono monkey unable to function alongside societal standards ",0
122,This always makes me feel better in the morning when I go to my locker and I'm stressed! Love u girl https://twitter.com/okheavenleigh/status/835524357682245634 …,0
123,I always feel like I'm disappointing my catering manager when I say I can't take a delivery but I'm always stressed out taking them,0
124,The next two weeks are gonna be filled w/so much stress and anxiety. I can feel it. #NganoNiSkwelaManKoBalikNiGraduateNamanTaKo,0
125,@MartinGarrix I LOVE YOU SO MUCH BROTHER BY LISTING DJ BEATS AND SONG ALSO AND WHEN EVER I FEEL ALONE AND HAVING STRESS ON MY HEAD BY,0
126,This is exactly how I feel! I was having such a shitty day until I saw those bts vids.. the stress just melted right off of me.  https://twitter.com/shirmirart/status/835518645086343168 …,0
127,currently watching shin yang nam show to relieve stress. idk i feel so pissed rn ,0
128,I'm stressed to the point where I feel like I don't exist and it's not a cool feeling.,0
129,"i tried that but he's so stressed he literally won't stop shaking and whining, i feel so bad rip",0
130,I feel so excited but also very stressed now. So close to have a final between my two favourite players ,0
131,yeah i probably wont post it like that id feel too stressed :(,0
132,"I stress about what I wear so much, it feels so nice to just put something on and love it.",0
133,3 full hrs of sleep later & I feel like I just laid down 5 mins ago. Who needs an alarm when you have stress to wake you up bright & early?,0
134,It's getting stressful that I've done nothing productive revision wise and still don't feel stressed pic.twitter.com/36Olwufp6L,0
135,I will Never Feel Stress Because I Know I'm Blessed ,0
136,Ahh I feel so stressed doing our portfolio  But thanks to this sunshine for making me smile  #BTS #Jhopepic.twitter.com/8tnEbBB2Pw,0
137,I feel stressed being thin girl.,0
138,I think film soundtracks stress me out. I feel like I'm obligated to listen to each one to have a complete film experience.,0
139,"Tormented by days like this. Feel I must somehow live up to their radiance, pressure of knowing it's fleeting makes me too stressed to enjoy https://twitter.com/JairajSinghR/status/835503060860325888 …",0
140,when i think abt how hard i find colouring and composition and layout i get stressed out n feel like not a real artist aaaaaa x___x;;;,0
141,I'm so stressed why does it feel like 19 degrees outside,0
142,I know how exactly my mom feels tonight pero di ko kaya sya icomfort kay stressed pud kaayo ko haaaayyysss I love you maaaa pic.twitter.com/SGhqNlNTm0,0
143,Funny I don't feel pain or stress when it comes to favors :),0
144,"I agree, 100%. I don't mind feeling challenged but I don't want to feel stressed.",0
145,"Just when i felt so stressed out, i heard that voice and i feel a little more motivated ",0
146,I feel like his crazy dancing in this gif accurately sums up the stress one feels in trying to purchase RHCP tickets hahaha,0
147,I feel like im stress dreaming,0
148,"I don't wanna be precious, I don't wanna feel stress. Life is for the living, but no a living hell.",0
149,I thought starting with revision now would make me feel less stressed but no it's making me feel worse ,0
150,Does anyone else feel like the world is ending when u get trapped in a sports bra? Like I get so stressed,0
151,im so stressed i feel like im gonna have a trisha paytas meltdown,0
152, omg I feel stressed already,0
153,I feel you. I'm only there because I stress my mom out when I say I'm gone.,0
154,tell me why I've been so stressed all week and then the second barack obama comes back to the US I feel 10x better @BarackObama love u,0
155,"I'm so stressed for the whole week since I'm having too much works whether school or in others, but I feel better now",0
156,i can already feel the stress im goin to  face once i got back to college,0
157,"I used to be really stressed out whenever I played Dark Souls.

Darkest Dungeon makes Dark Souls feel like a day in Disneyland.",0
158,"Is actually a bone. 
So now I'm just stressed & i feel i have wasted my life ",0
159,I am having such an awful time coping with anxiety/stress. I feel so disoriented. Just want to curl up and disappear.,0
160,"yes officer, it was a stress relief exercise. I feel so much better now",0
161,"...I often find the ""staff"" sat with the celebs miserable and kill joys, plus they often feel quite stress to me.",0
162,"I feel more stressed taking a break to play #rocketleague than I did before!

Harshtagsolo2v2queuewoes",0
163,well I just read a couple of things. This feels like Serial-level stress and confusion,0
164,I’m stressed and I feel like I’m a complete fail at blogging… I love it but I’m starting to doubt everything,0
